N E Topografia b-sedidmentos b-basalto b-and-cuater b-toba b-and-terc b-lechos
2169.5 544.5 -1.968 -1.968 -1.968 -1.814646021 -1.614646021 -1.611512696 -1.511512696
2169.5 545.5 -1.953 -1.953 -1.953 -1.855201984 -1.655201984 -1.644086613 -1.544086613
2169.5 546.5 -1.954 -1.954 -1.954 -1.88371135 -1.68371135 -1.650772074 -1.569630477
2169.5 547.5 -1.929 -1.929 -1.929 -1.890339163 -1.855148165 -1.631695589 -1.585923637
2169.5 548.5 -1.884 -1.884 -1.884 -1.874 -1.874 -1.600390856 -1.584394979
2169.5 549.5 -1.867 -1.867 -1.867 -1.852115827 -1.852115827 -1.570859115 -1.56054755
2169.5 550.5 -1.849 -1.849 -1.849 -1.830438827 -1.691448474 -1.544663537 -1.522032656
2169.5 551.5 -1.874 -1.874 -1.874 -1.829456388 -1.629456388 -1.516523951 -1.480567483
2169.5 552.5 -1.875 -1.875 -1.875 -1.838422136 -1.638422136 -1.479368987 -1.445468959
2169.5 553.5 -1.864 -1.864 -1.864 -1.851248367 -1.651248367 -1.437425492 -1.418199686
2169.5 554.5 -1.864 -1.864 -1.864 -1.854 -1.805043346 -1.399910592 -1.394740594
2169.5 555.5 -1.874 -1.864 -1.855943043 -1.855943043 -1.855943043 -1.372879919 -1.372879919
2169.5 556.5 -1.869 -1.859 -1.842774943 -1.842774943 -1.842774943 -1.354489931 -1.354489931
2169.5 557.5 -1.863 -1.841996782 -1.82295201 -1.82295201 -1.811302737 -1.341136465 -1.341136465
2169.5 558.5 -1.858 -1.818472347 -1.808403846 -1.804150472 -1.733874365 -1.331573609 -1.331573609
2169.5 559.5 -1.858 -1.822714987 -1.789663017 -1.788646373 -1.671954164 -1.324511418 -1.324511418
2169.5 560.5 -1.852 -1.8244446 -1.776254508 -1.776254508 -1.660771453 -1.318818658 -1.318818658
2169.5 561.5 -1.841 -1.8142929 -1.767119336 -1.767119336 -1.678741418 -1.313989261 -1.313989261
2169.5 562.5 -1.835 -1.805818734 -1.763695836 -1.763695836 -1.688274308 -1.310482597 -1.310482597
2169.5 563.5 -1.832 -1.80665188 -1.768600868 -1.768600868 -1.699621045 -1.308857112 -1.308857112
2169.5 564.5 -1.833 -1.786156393 -1.781661835 -1.781661835 -1.700195694 -1.308993368 -1.308993368
2169.5 565.5 -1.835 -1.814888791 -1.797883449 -1.797883449 -1.713000449 -1.309251788 -1.309251788
2169.5 566.5 -1.836 -1.812307068 -1.812307068 -1.812307068 -1.727533222 -1.307520194 -1.307520194
2169.5 567.5 -1.836 -1.826 -1.82145692 -1.82145692 -1.794227743 -1.302986194 -1.302986194
2169.5 568.5 -1.837 -1.827 -1.827 -1.827 -1.780376737 -1.296820255 -1.296820255
2169.5 669 -1.835 -1.685319534 -1.685319534 -1.3609706 -1.1609706 -1.1609706 -1.0609706
2170.5 436 -2.251 -2.251 -2.251 -2.197436731 -2.112247053 -1.836980994 -1.739098687
2170.5 536.5 -2.169 -2.169 -2.169 -1.925383277 -1.886661312 -1.662602867 -1.565491598
2170.5 537.5 -2.128 -2.128 -2.128 -1.85054972 -1.741396837 -1.616025471 -1.517065919
2170.5 538.5 -2.085 -2.085 -2.075 -1.788083917 -1.588083917 -1.572983779 -1.472983779
2170.5 539.5 -2.052 -2.052 -2.042 -1.740031023 -1.540031023 -1.535688996 -1.435688996
2170.5 540.5 -1.99 -1.99 -1.98 -1.708001292 -1.508001292 -1.508001292 -1.408001292
2170.5 541.5 -1.949 -1.949 -1.949 -1.692917939 -1.497682639 -1.497682639 -1.397682639
2170.5 542.5 -1.95 -1.95 -1.95 -1.704093612 -1.505255103 -1.505255103 -1.405255103
2170.5 543.5 -1.947 -1.947 -1.947 -1.728158096 -1.528158096 -1.528158096 -1.428158096
2170.5 544.5 -1.938 -1.938 -1.938 -1.760672078 -1.560672078 -1.558824608 -1.458824608
2170.5 545.5 -1.931 -1.931 -1.931 -1.795409479 -1.595409479 -1.585787689 -1.485787689
2170.5 546.5 -1.9 -1.9 -1.9 -1.824762756 -1.624762756 -1.592176272 -1.505306784
2170.5 547.5 -1.89 -1.89 -1.89 -1.843748633 -1.788283825 -1.567846351 -1.521040012
2170.5 548.5 -1.854 -1.854 -1.854 -1.844 -1.844 -1.527966676 -1.520127947
2170.5 549.5 -1.834 -1.834 -1.834 -1.824 -1.824 -1.492356885 -1.492356885
